date,white_balls,red_ball,power_play
11/01/1997,22|25|28|33|37,20,0X
11/05/1997,2|19|24|28|35,26,0X
11/08/1997,7|17|21|40|49,37,0X
11/12/1997,13|14|16|29|41,1,0X
11/15/1997,7|21|26|32|45,8,0X
11/19/1997,3|10|19|21|48,22,0X
11/22/1997,3|7|14|22|31,2,0X
11/26/1997,15|23|34|40|46,35,0X
11/29/1997,2|11|13|27|31,23,0X
12/03/1997,9|14|18|42|47,32,0X
12/06/1997,8|15|26|28|43,36,0X
12/10/1997,4|18|21|28|41,3,0X
12/13/1997,5|35|41|44|46,27,0X
12/17/1997,3|5|13|18|45,20,0X
12/20/1997,10|11|12|17|23,7,0X
12/24/1997,3|16|28|34|35,14,0X
12/27/1997,9|14|15|36|48,17,0X
12/31/1997,4|5|6|14|27,6,0X
01/03/1998,4|7|9|27|32,6,0X
01/07/1998,3|4|18|30|37,23,0X
01/10/1998,7|9|17|20|44,25,0X
01/14/1998,6|9|16|28|38,13,0X
01/17/1998,9|28|29|38|49,6,0X
01/21/1998,1|23|26|31|32,33,0X
01/24/1998,7|15|23|28|36,10,0X
01/28/1998,15|23|31|36|48,12,0X
01/31/1998,7|11|13|36|48,18,0X
02/04/1998,8|12|21|25|30,20,0X
02/07/1998,5|12|15|27|40,14,0X
02/11/1998,25|33|34|35|37,35,0X
02/14/1998,5|7|23|39|41,6,0X
02/18/1998,1|21|28|29|33,15,0X
02/21/1998,9|22|29|39|47,25,0X
02/25/1998,2|20|30|43|46,19,0X
02/28/1998,4|26|41|45|49,6,0X
03/04/1998,3|19|30|33|39,9,0X
03/07/1998,21|30|32|36|42,33,0X
03/11/1998,2|5|17|24|36,20,0X
03/14/1998,15|34|35|42|47,15,0X
03/18/1998,2|4|33|39|41,26,0X
03/21/1998,4|34|35|38|47,16,0X
03/25/1998,5|23|35|42|44,29,0X
03/28/1998,27|30|33|38|44,15,0X
04/01/1998,11|12|33|34|47,39,0X
04/04/1998,3|8|23|43|46,13,0X
04/08/1998,3|10|24|30|49,35,0X
04/11/1998,5|15|36|48|49,11,0X
04/15/1998,8|24|25|39|41,21,0X
04/18/1998,19|22|24|30|45,21,0X
04/22/1998,4|13|29|31|49,4,0X
04/25/1998,5|7|20|35|38,19,0X
04/29/1998,8|25|30|46|47,31,0X
05/02/1998,3|14|19|37|49,4,0X
05/06/1998,11|20|44|45|47,5,0X
05/09/1998,8|26|29|34|49,28,0X
05/13/1998,2|13|18|30|36,26,0X
05/16/1998,1|22|23|28|41,18,0X
05/20/1998,4|9|30|34|48,8,0X
05/23/1998,1|15|16|35|46,35,0X
05/27/1998,2|15|27|33|46,27,0X
05/30/1998,3|14|24|29|45,24,0X
06/03/1998,22|25|31|35|41,38,0X
06/06/1998,16|24|26|28|42,24,0X
06/10/1998,4|12|19|36|38,6,0X
06/13/1998,3|6|8|21|23,11,0X
06/17/1998,7|14|35|36|37,10,0X
06/20/1998,9|26|27|31|49,4,0X
06/24/1998,13|16|18|27|30,23,0X
06/27/1998,7|10|30|31|36,37,0X
07/01/1998,3|17|29|35|47,34,0X
07/04/1998,15|25|30|38|39,42,0X
07/08/1998,5|16|19|29|34,24,0X
07/11/1998,1|6|10|12|38,17,0X
07/15/1998,11|16|21|23|36,37,0X
07/18/1998,8|10|14|33|40,31,0X
07/22/1998,1|22|23|30|49,33,0X
07/25/1998,3|14|17|21|23,16,0X
07/29/1998,8|39|43|45|49,13,0X
08/01/1998,1|4|20|25|44,5,0X
08/05/1998,3|12|19|35|42,21,0X
08/08/1998,5|9|33|42|45,28,0X
08/12/1998,2|10|33|42|45,2,0X
08/15/1998,12|27|30|37|49,20,0X
08/19/1998,8|15|23|43|46,29,0X
08/22/1998,7|11|21|22|49,19,0X
08/26/1998,6|23|32|42|46,8,0X
08/29/1998,13|14|18|29|31,23,0X
09/02/1998,21|28|29|40|44,8,0X
09/05/1998,8|10|16|26|49,40,0X
09/09/1998,4|12|19|42|46,9,0X
09/12/1998,16|19|28|33|35,16,0X
09/16/1998,6|24|35|40|42,2,0X
09/19/1998,1|19|35|37|41,11,0X
09/23/1998,1|5|21|22|42,18,0X
09/26/1998,2|3|5|24|25,8,0X
09/30/1998,2|3|8|12|36,24,0X
10/03/1998,5|14|22|25|32,4,0X
10/07/1998,6|8|9|15|26,7,0X
10/10/1998,1|8|19|28|45,25,0X
10/14/1998,14|15|18|26|32,6,0X
10/17/1998,28|32|44|47|48,27,0X
10/21/1998,22|24|27|39|44,25,0X
10/24/1998,10|12|17|25|40,20,0X
10/28/1998,8|9|24|35|44,42,0X
10/31/1998,17|33|34|37|42,8,0X
11/04/1998,2|8|17|30|36,22,0X
11/07/1998,5|10|13|30|33,28,0X
11/11/1998,10|14|25|36|48,2,0X
11/14/1998,3|10|16|35|41,38,0X
11/18/1998,21|25|33|39|46,18,0X
11/21/1998,1|14|15|21|35,10,0X
11/25/1998,6|10|13|33|48,9,0X
11/28/1998,2|4|6|11|43,9,0X
12/02/1998,4|22|29|36|45,30,0X
12/05/1998,9|19|20|27|31,39,0X
12/09/1998,12|33|40|43|48,16,0X
12/12/1998,12|16|26|29|40,32,0X
12/16/1998,3|8|19|27|32,38,0X
12/19/1998,3|5|15|17|45,6,0X
12/23/1998,29|31|39|45|46,33,0X
12/26/1998,7|17|27|29|41,33,0X
12/30/1998,10|20|34|38|46,3,0X
01/02/1999,4|17|23|26|39,27,0X
01/06/1999,2|9|13|16|44,36,0X
01/09/1999,5|10|11|27|32,13,0X
01/13/1999,15|31|33|43|47,6,0X
01/16/1999,2|15|20|28|40,15,0X
01/20/1999,2|12|19|40|48,27,0X
